"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"202","5298","#VRRR2LRY","나르디스","161","78","9","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"203","5298","#U0L9CCQQ","SlaughterHouse","150","206","13","#2L9RQU0","THE JUGGERNAUTS","VVQ1hRBUCaGPKxDA3_L1vBELEVrcyy7Saw9d0eo_ZQk"
"204","5298","#8P9JJL0U","Anne","164","116","21","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"205","5297","#QLYQRQG0","tokkan","162","215","5","#8G8RLYUJ","anarbest","DAt3F4VShTIS5aSa_I7FJ8uBZNw914CUaeoSAvN17Sc"
"206","5297","#22GPUUGJ0","mr.criminal","140","271","91","#UQLUR0R","السعودية","3lrYN4w8AhMvMDhQmcM7iNQIxncW-iIbGxUK9hqy4ME"
"207","5296","#99RG88QC","夜里找他","180","108","9","#PYPU8U0C","TRABZONSPOR","RUN-aGfiDat9ySvSqG9G_vLuS5Lr2uT79YXoB51W0lQ"
"208","5295","#9JVVV","PokemoN","145","83","14","#2JLQL2LJ","Р У С С К И Й","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"209","5295","#URPJCURV","Nour El-Din","181","149","10","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"210","5294","#802GCL8R","Princess Ray","164","70","10","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"211","5294","#L0LLJ8UR","97proUaE","164","83","11","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"212","5294","#9PV9CRPP","slimpack","156","74","12","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"213","5293","#PVLRJV0G","하운트","142","152","12","#8JVGQ9LL","신사동앙마","slsiNqJ5_8887HZYKmYvq-HL6oPkjLJY3db9x87u5YE"
"214","5292","#PQ0YGJCJ","⚡️BraveHeart™⚡️","171","233","15","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"215","5292","#8U829G2Q","UNAXLE","149","165","15","#9C9G2CUP","〆vergnuegen 〆","xSnvNNmWGEX12SBe1kmk980elitUQ-lL8mDYkAK6Ncg"
